ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,12/10/2020 12:00:00 AM,$0.12,$0.12,$0.06,$0.08,101811
Democratic,12/10/2020 12:00:00 AM,$0.91,$0.96,$0.90,$0.94,151244
Republican,12/11/2020 12:00:00 AM,$0.08,$0.09,$0.02,$0.05,114303
Democratic,12/11/2020 12:00:00 AM,$0.94,$0.99,$0.92,$0.97,151797
Republican,12/12/2020 12:00:00 AM,$0.05,$0.05,$0.03,$0.04,36581
Democratic,12/12/2020 12:00:00 AM,$0.97,$0.97,$0.95,$0.97,61933
Republican,12/13/2020 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,27382
Democratic,12/13/2020 12:00:00 AM,$0.97,$0.97,$0.95,$0.95,38328
Republican,12/14/2020 12:00:00 AM,$0.05,$0.07,$0.04,$0.05,60468
Democratic,12/14/2020 12:00:00 AM,$0.95,$0.97,$0.93,$0.94,65300
Republican,12/15/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,12/15/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,283
