ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Democratic,12/1/2020 12:00:00 AM,$0.91,$0.92,$0.90,$0.91,66603
Republican,12/2/2020 12:00:00 AM,$0.10,$0.12,$0.10,$0.11,50717
Democratic,12/2/2020 12:00:00 AM,$0.91,$0.92,$0.89,$0.89,37613
Republican,12/3/2020 12:00:00 AM,$0.11,$0.13,$0.10,$0.13,41957
Democratic,12/3/2020 12:00:00 AM,$0.89,$0.90,$0.89,$0.89,42714
Republican,12/4/2020 12:00:00 AM,$0.13,$0.15,$0.11,$0.12,41015
Democratic,12/4/2020 12:00:00 AM,$0.89,$0.91,$0.88,$0.90,63201
Republican,12/5/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.12,17750
Democratic,12/5/2020 12:00:00 AM,$0.90,$0.91,$0.89,$0.90,24340
Republican,12/6/2020 12:00:00 AM,$0.12,$0.15,$0.10,$0.13,32594
Democratic,12/6/2020 12:00:00 AM,$0.90,$0.91,$0.88,$0.88,40850
Republican,12/7/2020 12:00:00 AM,$0.13,$0.14,$0.11,$0.12,32808
Democratic,12/7/2020 12:00:00 AM,$0.88,$0.90,$0.87,$0.89,61177
Republican,12/8/2020 12:00:00 AM,$0.12,$0.14,$0.10,$0.11,74698
Democratic,12/8/2020 12:00:00 AM,$0.89,$0.92,$0.87,$0.91,124946
Republican,12/9/2020 12:00:00 AM,$0.11,$0.12,$0.09,$0.12,45331
Democratic,12/9/2020 12:00:00 AM,$0.91,$0.91,$0.89,$0.89,57896
Republican,12/10/2020 12:00:00 AM,$0.12,$0.12,$0.07,$0.09,112634
Democratic,12/10/2020 12:00:00 AM,$0.89,$0.94,$0.89,$0.92,116589
Republican,12/11/2020 12:00:00 AM,$0.09,$0.09,$0.02,$0.05,158026
Democratic,12/11/2020 12:00:00 AM,$0.92,$0.99,$0.91,$0.96,188181
Republican,12/12/2020 12:00:00 AM,$0.05,$0.05,$0.03,$0.05,69160
Democratic,12/12/2020 12:00:00 AM,$0.96,$0.97,$0.95,$0.96,110659
Republican,12/13/2020 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,29597
Democratic,12/13/2020 12:00:00 AM,$0.96,$0.97,$0.95,$0.97,86694
Republican,12/14/2020 12:00:00 AM,$0.04,$0.08,$0.03,$0.05,84824
Democratic,12/14/2020 12:00:00 AM,$0.97,$0.97,$0.92,$0.95,98069
Republican,12/15/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,12/15/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,283
